GC-code;Cache name;Type;Size;Difficulty;Terrain;Latitude;Longitude;Elevation (m);Last publish date;Region;County;Archived;Locked;Disabled;Premium;Finds;FP;FP%;FPW;Placed by;Owner;Found
GC3R4D3;Back to the History - Kremnica #1;Unknown Cache;Micro;2.5;2.0;N 48° 42.250;E 018° 55.200;553;2012-07-26;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;350;47;22.1698;17.10134;StevenY.Sk;StevenY.Sk;
GC3R7PZ;GC/TB hotel pri stratenom krizi;Unknown Cache;Regular;2.0;2.0;N 48° 20.578;E 019° 34.991;261;2012-08-03;Banskobystrický kraj;Lučenec;0;0;0;0;58;3;15.7895;5.520371;stevolc;stevolc;
GC3RB0R;Demanovska vyhliadka;Traditional Cache;Small;2.0;2.5;N 48° 58.537;E 019° 35.121;1166;2012-07-27;Žilinský kraj;Liptovský Mikuláš;0;0;0;0;2005;46;6.5997;4.98412;Robeno & Smejka;Robeno;
GC3RC9Q;Najvyssi # Ulmansky viadukt;Unknown Cache;Small;2.0;4.0;N 48° 48.121;E 019° 05.957;435;2012-07-28;Banskobystrický kraj;Banská Bystrica;0;0;0;0;80;8;15.3846;8.00759;dodo6307;Dodo6307;
GC3RDT5;Bobrovcek;Multi-cache;Small;1.5;1.5;N 49° 08.416;E 019° 35.797;652;2012-07-28;Žilinský kraj;Liptovský Mikuláš;0;0;0;0;150;1;1.4493;0.256286;Škorpióni;Škorpióni;
GC3RG1T;Jergistolna;Traditional Cache;Micro;1.5;1.5;N 48° 28.501;E 018° 54.403;624;2012-08-01;Banskobystrický kraj;Banská Štiavnica;0;0;0;0;313;5;3.876;1.666726;zuzki + Hela & Milan ;zuzki;
GC3RG2V;Banska Bela Kostol;Unknown Cache;Small;2.0;2.0;N 48° 28.512;E 018° 56.020;470;2012-08-02;Banskobystrický kraj;Banská Štiavnica;0;0;0;0;210;2;1.8182;0.500025;zuzki;zuzki;
GC3RG3K;H.D.Wilckens;Traditional Cache;Micro;2.0;1.5;N 48° 30.752;E 018° 51.726;418;2012-08-01;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;300;3;2.4793;0.846716;zuzki;zuzki;
GC3RJE0;Skalne obydlia Lisov;Traditional Cache;Small;2.0;2.0;N 48° 14.272;E 018° 52.025;230;2012-08-01;Banskobystrický kraj;Krupina;0;0;0;0;138;10;17.5439;9.818747;Jozulu;Jozulu;
GC3RKJR;Park uslachtilych dusi / Park of Generous Souls;Unknown Cache;Micro;2.0;1.5;N 48° 34.215;E 019° 07.035;295;2012-08-03;Banskobystrický kraj;Zvolen;0;0;0;0;456;21;10.9375;7.2658;feondra;IVIirec;
GC3RKPC;"#7 LC evil ""tower""";Traditional Cache;Other;3.5;1.5;N 48° 20.256;E 019° 40.040;187;2012-08-01;Banskobystrický kraj;Lučenec;0;0;0;1;203;62;47.3282;38.976626;stevolc;stevolc;
GC3RMGA;HH: Banicky kostolik;Traditional Cache;Small;2.0;1.5;N 48° 27.728;E 018° 46.934;405;2012-08-02;Banskobystrický kraj;Žarnovica;0;0;0;0;252;9;9.1837;4.906866;zuzki;zuzki;
GC3RMGN;HH: Farsky kostol;Traditional Cache;Micro;1.5;1.5;N 48° 28.033;E 018° 49.124;459;2012-08-02;Banskobystrický kraj;Žarnovica;0;0;0;0;359;2;1.4815;0.407212;zuzki;zuzki;
GC3RMHG;HH: Klopacka;Traditional Cache;Other;3.0;2.0;N 48° 27.892;E 018° 49.168;448;2012-08-02;Banskobystrický kraj;Žarnovica;0;0;0;0;320;22;16.1765;10.932044;zuzki;zuzki;
GC3RMJ2;HH: Cintorinsky kostol;Unknown Cache;Micro;2.5;1.5;N 48° 27.730;E 018° 49.032;459;2012-08-12;Banskobystrický kraj;Žarnovica;0;0;0;0;195;10;12.1951;6.760781;zuzki;zuzki;
GC3RMK8;HH: Sachta Lill;Multi-cache;Regular;2.0;2.0;N 48° 27.802;E 018° 49.612;427;2012-08-12;Banskobystrický kraj;Žarnovica;0;0;0;0;210;1;0.9346;0.165163;zuzki;zuzki;
GC3RMRP;TUNEL NA TRATI MLADEZE;Traditional Cache;Regular;2.5;3.0;N 48° 27.158;E 018° 55.928;531;2012-08-02;Banskobystrický kraj;Banská Štiavnica;0;0;0;0;138;4;6.3492;2.496521;curtys;curtys;
GC3RQTT;Chmarossky viadukt;Traditional Cache;Small;1.5;2.5;N 48° 51.318;E 020° 12.166;947;2012-08-03;Banskobystrický kraj;Brezno;0;0;0;0;1105;36;8.4706;6.181094;Mikme (adopted from Pantomik);Mikme;
GC3RVW2;VN Nova Bystrica;Traditional Cache;Regular;1.5;1.5;N 49° 20.560;E 019° 02.434;591;2012-08-06;Žilinský kraj;Čadca;0;0;1;0;600;3;1.8405;0.627864;mihalici;mihalici;
GC3RVW9;HH: Dolne Hamre;Multi-cache;Regular;2.0;2.0;N 48° 27.345;E 018° 46.303;311;2012-08-06;Banskobystrický kraj;Žarnovica;0;0;0;0;136;2;2.3529;0.647638;zuzki;zuzki;
GC3RVZD;HH: Banska Hodrusa;Multi-cache;Micro;1.5;1.5;N 48° 27.696;E 018° 49.181;405;2012-08-27;Banskobystrický kraj;Žarnovica;0;0;0;0;201;3;2.8846;0.9858;zuzki;zuzki;
GC3RW2K;Polkanovsky tunel;Traditional Cache;Small;2.0;2.5;N 48° 48.186;E 019° 05.821;490;2012-08-04;Banskobystrický kraj;Banská Bystrica;0;0;0;0;136;3;4.0;1.369582;dodo6307;Dodo6307;
GC3RWR6;Bystricke fontany VIII. – Krivanska ulica;Multi-cache;Small;1.5;2.0;N 48° 45.703;E 019° 09.884;430;2012-08-06;Banskobystrický kraj;Banská Bystrica;0;0;0;0;244;0;0.0;0.0;Serpo-SK;Serpo-SK;
GC3RX6X;Park zabudnutych susedov;Traditional Cache;Micro;1.0;1.5;N 48° 34.748;E 019° 07.754;295;2012-08-11;Banskobystrický kraj;Zvolen;0;0;0;0;870;5;1.7065;0.731044;Kuchtoo, stevivik;IVIirec;
GC3T456;Jablonove;Traditional Cache;Small;1.5;1.5;N 49° 10.983;E 018° 33.625;353;2012-08-09;Žilinský kraj;Bytča;0;0;0;0;321;6;4.4776;2.068021;Jozulu;Jozulu;
GC3T7DX;Tale;Traditional Cache;Micro;2.0;1.5;N 48° 52.420;E 019° 36.290;688;2012-08-09;Banskobystrický kraj;Brezno;0;0;0;0;971;1;0.2899;0.051184;adako;adako;
GC3T9HX;Mirka a Maui;Traditional Cache;Regular;3.5;3.0;N 49° 03.183;E 019° 15.937;940;2012-08-12;Žilinský kraj;Ružomberok;0;0;0;0;766;11;4.1509;2.333352;IxtabMol;IxtabMol;1.0
GC3TAD8;Lukove;Multi-cache;Micro;2.0;1.5;N 48° 36.160;E 019° 11.626;355;2012-09-05;Banskobystrický kraj;Zvolen;0;0;0;0;112;1;1.7241;0.304996;Gilrond;Gilrond;
GC3TAYQ;Alofok;Traditional Cache;Regular;1.5;3.5;N 49° 02.350;E 018° 36.854;712;2012-08-11;Žilinský kraj;Žilina;0;0;0;0;42;0;0.0;0.0;Dr. Tryskac;Dr. Tryskac;
GC3TFCF;Gulometne hniezdo nad vyvierackou;Traditional Cache;Small;1.5;3.0;N 49° 00.372;E 019° 35.014;819;2012-08-12;Žilinský kraj;Liptovský Mikuláš;0;0;0;0;857;48;14.4578;11.081244;peroncik;peroncik;
GC3TGRV;Bud fit;Multi-cache;Micro;2.0;2.5;N 48° 36.635;E 019° 09.301;322;2012-08-14;Banskobystrický kraj;Zvolen;0;0;0;0;235;5;4.9505;2.13282;n5230;n5230;
GC3THEE;VE HRICOV;Traditional Cache;Micro;1.0;1.0;N 49° 15.560;E 018° 41.108;326;2012-08-13;Žilinský kraj;Žilina;0;0;0;0;673;0;0.0;0.0;igisky;igisky;
GC3TM24;Tilic;Traditional Cache;Small;2.0;2.5;N 48° 12.494;E 019° 55.875;460;2012-08-16;Banskobystrický kraj;Rimavská Sobota;0;0;0;0;55;3;15.0;5.236779;smoulinkalc/stevolc;smoulinkalc;
GC3TNJ7;Back to the History - Kremnica #4;Unknown Cache;Micro;2.5;1.0;N 48° 42.180;E 018° 55.240;561;2012-08-20;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;409;10;4.0323;2.204722;sleepy ghost;sleepy ghost;
GC3TNJV;Back to the History - Kremnica #5;Unknown Cache;Micro;2.5;1.5;N 48° 42.110;E 018° 55.310;592;2012-08-20;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;426;8;3.1373;1.598082;sleepy ghost;sleepy ghost;
GC3TQNR;Geocache: Zelezna Breznica;Traditional Cache;Small;1.5;3.0;N 48° 36.909;E 019° 00.880;470;2012-08-16;Banskobystrický kraj;Zvolen;0;0;0;0;176;4;5.8824;2.311039;roxetak;roxetak;
GC3TTX4;Najdlhsi # Cremosniansky tunel;Unknown Cache;Regular;3.5;4.0;N 48° 49.910;E 019° 01.183;698;2012-08-21;Banskobystrický kraj;Banská Bystrica;0;0;0;0;93;9;18.75;10.191276;dodo6307 + mary_sa;Dodo6307;
GC3TZE6;Jakubina;Traditional Cache;Small;2.0;4.0;N 49° 11.606;E 019° 48.073;2171;2012-08-22;Žilinský kraj;Liptovský Mikuláš;0;0;1;0;277;21;18.75;12.603362;Paulen;Paulen;
GC3V5Y5;Dinosauria Jaskyna;Traditional Cache;Small;2.0;3.0;N 48° 50.388;E 020° 04.969;815;2012-08-22;Banskobystrický kraj;Brezno;0;0;0;0;60;7;26.9231;13.704276;geokubisovci;geokubisovci;
GC3V83E;Rozhladna na Luboch;Traditional Cache;Small;1.5;2.0;N 49° 21.092;E 018° 31.803;905;2012-09-05;Žilinský kraj;Čadca;0;0;0;0;177;5;7.2464;3.134731;Medvedi Team;Medvedi Team;
GC3V861;Farnost Trnie - Kostol sv. Cyrila a Metoda;Traditional Cache;Small;2.0;2.0;N 48° 36.811;E 019° 00.984;494;2012-08-23;Banskobystrický kraj;Zvolen;0;0;0;0;293;1;0.885;0.156384;roxetak;roxetak;
GC3V881;Farnost Trnie - Bonus;Unknown Cache;Micro;2.0;2.0;N 48° 36.583;E 019° 01.415;545;2012-09-29;Banskobystrický kraj;Zvolen;0;0;0;0;149;1;1.6129;0.285279;roxetak;roxetak;
GC3V8BA;Farnost Trnie - Kostol sv. Martina;Traditional Cache;Small;2.0;2.0;N 48° 36.434;E 019° 01.824;505;2012-08-23;Banskobystrický kraj;Zvolen;0;0;0;0;334;2;1.6;0.439871;roxetak;roxetak;
GC3VA4V;Okruhlica;Traditional Cache;Small;2.0;3.0;N 49° 15.642;E 018° 59.462;937;2012-08-24;Žilinský kraj;Žilina;0;0;0;0;43;2;11.1111;3.101887;albertoto & mackato;albertoto;
GC3VA9Y;Lost Place - Zlaty potok;Traditional Cache;Small;1.5;2.0;N 48° 38.020;E 018° 54.171;341;2012-08-25;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;558;1;0.3968;0.070082;najhorsia;najhorsia;
GC3VBPT;HH: GBU;Unknown Cache;Regular;2.0;2.0;N 48° 27.225;E 018° 46.956;322;2012-08-27;Banskobystrický kraj;Žarnovica;0;0;1;0;153;1;0.9804;0.173269;zuzki;zuzki;
GC3VBQ2;HH: Slavni rodaci;Traditional Cache;Small;1.5;1.5;N 48° 27.640;E 018° 45.083;285;2012-08-26;Banskobystrický kraj;Žarnovica;0;0;0;0;385;1;0.5682;0.100366;zuzki;zuzki;
GC3VBQA;HH: Krizne cesty;Unknown Cache;Micro;2.5;2.0;N 48° 28.174;E 018° 52.302;773;2012-08-29;Banskobystrický kraj;Banská Štiavnica;0;0;0;0;148;4;3.9216;1.535382;zuzki;zuzki;
GC3VD8R;Pachola 2 167 m.n.m.;Traditional Cache;Small;2.0;4.0;N 49° 12.083;E 019° 42.146;2155;2012-08-25;Žilinský kraj;Liptovský Mikuláš;0;0;1;0;436;36;19.8895;14.726799;Škorpióni;Škorpióni;
GC3VGBD;BUROVIE;Traditional Cache;Small;2.0;2.5;N 48° 49.857;E 019° 29.399;593;2012-08-27;Banskobystrický kraj;Brezno;0;0;0;0;63;5;20.0;8.860454;siivan, kardygo;siivan;
GC3VHYD;Zeleznicna stanica Radvan;Multi-cache;Small;1.5;4.0;N 48° 43.001;E 019° 08.446;336;2012-09-05;Banskobystrický kraj;Banská Bystrica;0;0;0;0;133;0;0.0;0.0;glorious@tinka;glorious_GT;
GC3VJ87;Krater?;Unknown Cache;Small;2.5;3.0;N 48° 43.200;E 019° 08.115;349;2013-03-27;Banskobystrický kraj;Banská Bystrica;0;0;0;0;71;0;0.0;0.0;glorious@tinka;glorious_GT;
GC3VNDQ;HNCM;Unknown Cache;Small;2.0;2.0;N 49° 14.427;E 018° 43.579;335;2013-04-24;Žilinský kraj;Žilina;0;0;0;0;55;8;23.5294;12.436838;MirecXP;MirecXP;
GC3VPJ7;Kostol v Ratkovskej Lehote;Traditional Cache;Small;1.5;1.5;N 48° 33.738;E 020° 06.166;297;2012-08-29;Banskobystrický kraj;Rimavská Sobota;0;0;0;0;50;0;0.0;0.0;dalo156;dalo156;
GC3VWXG;Sklabinsky Podzamok;Multi-cache;Micro;2.5;2.0;N 49° 03.077;E 019° 01.636;515;2012-09-01;Žilinský kraj;Martin;0;0;0;0;196;5;5.0;2.154336;kambo1997;kambo1997;
GC3VZ60;Benuska 1542m.n.m.;Traditional Cache;Micro;2.0;3.5;N 48° 52.813;E 019° 43.982;1540;2012-09-02;Banskobystrický kraj;Brezno;0;0;0;0;114;5;15.625;6.864319;adako;adako;
GC3VZPC;Vodarenska veza;Letterbox Hybrid;Small;3.0;5.0;N 48° 47.581;E 019° 21.941;411;2012-09-05;Banskobystrický kraj;Banská Bystrica;0;0;0;1;184;83;61.0294;52.637682;Mikme;Mikme;
GC3W1C0;Temne bubny / Dark drums (T3.5)[Vrutocke mosty#10];Traditional Cache;Micro;3.0;3.5;N 49° 06.208;E 018° 59.705;394;2012-09-03;Žilinský kraj;Martin;0;0;0;0;217;37;38.5417;29.425615;KLepo;KLepo;
GC3W43V;Zwhan;Multi-cache;Small;1.5;1.5;N 48° 18.768;E 019° 13.313;498;2012-09-04;Banskobystrický kraj;Veľký Krtíš;0;0;0;0;65;4;10.8108;4.285121;walden2;walden2;
GC3W87H;5 MOPPD - k Hradku;Traditional Cache;Small;1.5;2.5;N 48° 47.853;E 019° 09.712;791;2012-09-13;Banskobystrický kraj;Banská Bystrica;0;0;0;0;148;0;0.0;0.0;gemm55;gemm55;
GC3WAGD;15 MOPPD - vyhlad na hreben;Traditional Cache;Small;1.5;2.5;N 48° 49.330;E 019° 10.014;760;2012-09-07;Banskobystrický kraj;Banská Bystrica;0;0;0;0;66;0;0.0;0.0;gemm55;gemm55;
GC3WAGX;16 MOPPD - pri chate;Traditional Cache;Small;1.5;2.0;N 48° 49.227;E 019° 10.393;680;2012-09-07;Banskobystrický kraj;Banská Bystrica;0;0;0;0;65;0;0.0;0.0;gemm55;gemm55;
GC3WAJ9;20 MOPPD - altanok pod skalou;Traditional Cache;Small;1.5;1.5;N 48° 49.476;E 019° 11.769;603;2012-09-07;Banskobystrický kraj;Banská Bystrica;0;0;0;0;89;0;0.0;0.0;gemm55;gemm55;
GC3WAJJ;21 MOPPD - krizovatka na Kaliste;Traditional Cache;Small;1.5;1.5;N 48° 49.257;E 019° 11.945;628;2012-09-07;Banskobystrický kraj;Banská Bystrica;0;0;0;0;97;0;0.0;0.0;gemm55;gemm55;
GC3WBY2;Through Gabor Ass to Blyst;Multi-cache;Small;2.5;3.5;N 49° 11.557;E 019° 50.461;2148;2012-09-11;Žilinský kraj;Liptovský Mikuláš;0;0;1;0;131;19;24.359;16.185114;Rizmani;Rizmani;
GC3WC29;1 MOPPD - Nemce;Traditional Cache;Small;1.5;1.5;N 48° 45.856;E 019° 11.011;419;2012-09-08;Banskobystrický kraj;Banská Bystrica;0;0;0;0;218;3;4.2254;1.4473;gemm55;gemm55;
GC3WC48;14 MOPPD - Madona;Traditional Cache;Not chosen;1.5;1.5;N 48° 49.085;E 019° 09.829;920;2012-09-08;Banskobystrický kraj;Banská Bystrica;0;0;0;0;91;0;0.0;0.0;gemm55;gemm55;
GC3WF1B;Klin;Traditional Cache;Small;3.0;4.0;N 49° 11.957;E 019° 49.203;2166;2012-09-11;Žilinský kraj;Liptovský Mikuláš;0;0;1;0;188;15;17.2414;10.736198;bilulah;bilulah;
GC3WGBN;Spomienka na neznameho vojaka;Traditional Cache;Small;1.5;2.0;N 49° 15.551;E 018° 49.784;742;2012-09-10;Žilinský kraj;Žilina;0;0;0;0;104;1;3.7037;0.656798;stastie01;stastie01;
GC3WHP0;Holy Vrch;Traditional Cache;Small;2.5;2.5;N 48° 36.543;E 018° 57.477;491;2012-09-14;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;72;1;3.5714;0.633236;tigermp;tigermp;
GC3WHPQ;Peter Kubik;Multi-cache;Regular;2.5;2.0;N 48° 36.370;E 018° 57.835;558;2012-09-14;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;93;2;4.6512;1.284899;tigermp;tigermp;
GC3WJXZ;25 MOPPD - vyhlad na Plese;Traditional Cache;Small;1.5;1.5;N 48° 49.411;E 019° 12.720;871;2012-09-11;Banskobystrický kraj;Banská Bystrica;0;0;0;0;82;1;2.439;0.431842;gemm55;gemm55;
GC3WJYD;26 MOPPD - pred Kalistom;Traditional Cache;Small;1.5;2.0;N 48° 49.705;E 019° 12.959;919;2012-09-11;Banskobystrický kraj;Banská Bystrica;0;0;0;0;133;0;0.0;0.0;gemm55;gemm55;
GC3WN34;32 MOPPD - vyhlad na Kriznu;Traditional Cache;Small;1.5;2.0;N 48° 48.755;E 019° 13.720;876;2012-09-12;Banskobystrický kraj;Banská Bystrica;0;0;0;0;111;0;0.0;0.0;gemm55;gemm55;
GC3WN37;33 MOPPD - vyhlad na Bystricu;Traditional Cache;Small;1.5;2.5;N 48° 48.898;E 019° 13.865;918;2012-09-12;Banskobystrický kraj;Banská Bystrica;0;0;0;0;96;0;0.0;0.0;gemm55;gemm55;
GC3WN3F;34 MOPPD - 360°;Traditional Cache;Regular;1.5;2.5;N 48° 49.231;E 019° 14.212;976;2012-09-12;Banskobystrický kraj;Banská Bystrica;0;0;0;0;127;3;6.5217;2.242745;gemm55;gemm55;
GC3WN4J;37 MOPPD - downhill;Traditional Cache;Small;1.5;1.5;N 48° 48.593;E 019° 14.974;780;2012-09-12;Banskobystrický kraj;Banská Bystrica;0;0;0;0;149;0;0.0;0.0;gemm55;gemm55;
GC3WN4X;38 MOPPD - Sv. Hubert;Traditional Cache;Small;2.0;3.0;N 48° 48.336;E 019° 15.286;681;2012-09-12;Banskobystrický kraj;Banská Bystrica;0;0;0;0;125;1;2.2222;0.39335;gemm55;gemm55;
GC3WN7A;41 MOPPD - pri krizi;Traditional Cache;Micro;1.5;1.5;N 48° 47.486;E 019° 15.897;520;2012-09-12;Banskobystrický kraj;Banská Bystrica;0;0;0;0;224;0;0.0;0.0;gemm55;gemm55;
GC3X441;Krpeliansky kanal;Traditional Cache;Small;2.0;3.5;N 49° 06.824;E 019° 00.416;409;2012-09-19;Žilinský kraj;Martin;0;0;0;0;209;8;8.9888;4.625188;kambo1997;kambo1997;
GC3X69N;Ostra skala;Traditional Cache;Small;2.5;3.5;N 48° 59.571;E 018° 39.521;1196;2012-09-24;Žilinský kraj;Žilina;0;0;0;0;319;15;11.2782;6.954842;bilulah;bilulah;
GC3X6AA;Klacky vodopad;Traditional Cache;Small;2.0;3.0;N 48° 58.959;E 018° 39.336;1019;2012-09-24;Žilinský kraj;Martin;0;0;0;0;266;6;5.8252;2.696813;bilulah;bilulah;
GC3XC12;Breznianske vyhlady ZAPAD - Krizne cesty;Traditional Cache;Small;2.0;2.5;N 48° 47.592;E 019° 35.857;700;2012-09-23;Banskobystrický kraj;Brezno;0;0;0;0;72;2;7.1429;1.981165;adako;adako;
GC3XDPM;Futbalova cache;Traditional Cache;Micro;2.0;4.0;N 49° 08.899;E 019° 13.942;591;2012-09-24;Žilinský kraj;Ružomberok;0;0;0;0;298;3;2.1739;0.742026;Škorpióni;Škorpióni;
GC3XN32;Studovna;Traditional Cache;Small;2.5;2.0;N 49° 10.527;E 018° 44.570;459;2012-10-04;Žilinský kraj;Žilina;0;0;0;0;141;0;0.0;0.0;tidzej;tidzej;
GC3Y0PK;Jahodnicke haje;Traditional Cache;Small;2.0;3.0;N 49° 02.435;E 018° 55.107;444;2012-10-08;Žilinský kraj;Martin;0;0;0;0;316;2;1.9608;0.539364;arborad;arborad;
GC3Y2Q9;Cervene piesky / The Red sands;Traditional Cache;Small;2.5;3.5;N 49° 10.712;E 019° 29.154;882;2012-10-18;Žilinský kraj;Liptovský Mikuláš;0;0;0;0;925;26;8.3333;5.750133;bilulah;bilulah;1.0
GC3Y2QX;Prosecne;Traditional Cache;Small;2.5;3.5;N 49° 10.495;E 019° 30.804;1366;2012-10-18;Žilinský kraj;Liptovský Mikuláš;0;0;0;0;98;5;13.1579;5.753783;bilulah;bilulah;
GC3Y6C1;Iba taka Diera..?;Traditional Cache;Small;1.0;2.5;N 49° 10.555;E 019° 08.599;458;2012-10-08;Žilinský kraj;Dolný Kubín;0;0;1;0;642;9;3.6145;1.913004;badox;badox;
GC3Y7JX;Vyuctovacia;Unknown Cache;Regular;2.5;3.0;N 48° 43.710;E 019° 00.250;1158;2012-10-11;Banskobystrický kraj;Banská Bystrica;0;0;0;0;153;4;4.6512;1.823367;Mikme;Mikme;
GC3YD7P;Skorusina;Multi-cache;Regular;3.0;3.0;N 49° 17.865;E 019° 41.518;1316;2012-10-10;Žilinský kraj;Tvrdošín;0;0;0;0;120;6;11.7647;5.504999;vkmf vlado;vkmf vlado;
GC3YFGK;Jediny Oravak, co nepije;Traditional Cache;Micro;1.5;1.5;N 49° 14.996;E 019° 20.395;501;2012-10-11;Žilinský kraj;Dolný Kubín;0;0;0;0;1077;6;1.4052;0.645534;zilincovci;zilincovci;
GC3YFX3;Vydani osudu;Unknown Cache;Other;4.0;3.0;N 48° 20.947;E 019° 40.227;227;2012-10-14;Banskobystrický kraj;Lučenec;0;0;0;0;48;22;81.4815;63.300943;stevolc , FormatX;stevolc;
GC3YG76;Prva slovenska obecna vodna elektraren v Necpaloch;Traditional Cache;Micro;1.5;2.5;N 48° 59.098;E 018° 58.121;504;2012-10-19;Žilinský kraj;Martin;0;0;0;0;438;26;17.1053;11.948678;Andrey[SK] (adopted from zilincovci);Andrey[SK];
GC3YGGE;Viadukt Kostiviarska;Unknown Cache;Small;2.0;2.5;N 48° 45.721;E 019° 08.514;377;2012-10-14;Banskobystrický kraj;Banská Bystrica;0;0;0;0;197;5;5.5556;2.396062;dodo6307;Dodo6307;
GC3YHZK;Stara trat;Multi-cache;Small;2.5;2.5;N 48° 46.800;E 019° 06.926;397;2012-10-25;Banskobystrický kraj;Banská Bystrica;0;0;0;0;181;4;4.0;1.566305;dodo6307 + mary_sa;Dodo6307;
GC3YP8G;Vrata Prosieckej doliny;Traditional Cache;Small;1.5;1.5;N 49° 09.616;E 019° 29.686;683;2012-10-16;Žilinský kraj;Liptovský Mikuláš;0;0;0;0;1419;26;5.8036;3.990936;minulo;miňulo;1.0
GC3YTJX;Lastovicia;Traditional Cache;Regular;2.0;3.0;N 48° 49.588;E 019° 01.537;634;2012-10-16;Banskobystrický kraj;Banská Bystrica;0;0;0;0;113;5;8.4746;3.674149;dodo6307 + mary_sa;Dodo6307;
GC3YX4F;PNB SeNaP Tuzinskeho mamut ;Traditional Cache;Micro;3.0;2.0;N 48° 27.762;E 018° 37.308;404;2012-10-20;Banskobystrický kraj;Žarnovica;0;0;0;0;183;8;10.2564;5.289272;Nando78 feat .peku;Nando78;
GC3Z1R8;Oravske Hamre;Traditional Cache;Small;1.5;2.0;N 49° 25.079;E 019° 35.753;619;2012-10-29;Žilinský kraj;Tvrdošín;0;0;0;0;43;1;9.0909;1.623175;Vulka;MiroSurin;
GC3Z49V;Co je kamenny muzik?;Traditional Cache;Regular;2.0;3.0;N 49° 12.296;E 019° 44.979;1542;2012-10-22;Žilinský kraj;Tvrdošín;0;0;1;0;618;3;1.1628;0.39622;MatoBo;MatoBo;
GC3ZTTT;Ciernansky rybnik;Traditional Cache;Small;2.0;2.5;N 49° 04.468;E 018° 36.664;503;2012-10-24;Žilinský kraj;Žilina;0;0;0;0;173;1;1.6667;0.294808;risototh;risototh;
GC3ZVKQ;Birdhouse puzzle;Unknown Cache;Other;5.0;5.0;N 49° 13.741;E 018° 48.872;390;2012-10-29;Žilinský kraj;Žilina;0;0;0;0;21;10;58.8235;36.005074;dewp;dewp;
GC40551;Repiste;Traditional Cache;Micro;1.5;1.5;N 48° 30.912;E 018° 50.703;521;2012-10-29;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;224;0;0.0;0.0;opted-out user;§OPTOUT:bd6c0cc1ff47§;
GC40567;Marcus 🏰;Traditional Cache;Small;2.5;2.5;N 48° 30.062;E 018° 50.659;612;2012-10-24;Banskobystrický kraj;Žiar nad Hronom;0;0;0;1;154;13;14.9425;8.945359;opted-out user;§OPTOUT:bd6c0cc1ff47§;
GC405WH;Blesk - smrt;Traditional Cache;Regular;2.0;2.0;N 48° 37.704;E 018° 47.141;355;2012-10-24;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;203;5;5.4945;2.369475;Jozefvp;Jozefvp;
GC40BNB;"#9 LC evil ""spa""";Traditional Cache;Micro;3.0;2.0;N 48° 19.490;E 019° 38.098;235;2012-10-29;Banskobystrický kraj;Lučenec;0;0;0;1;195;54;46.1538;37.386763;stevolc;stevolc;
GC40G4X;kamenolom na Ragaci;Traditional Cache;Small;2.0;2.5;N 48° 12.974;E 019° 59.192;446;2012-11-03;Banskobystrický kraj;Rimavská Sobota;0;0;0;0;68;4;10.2564;4.061266;stevolc;stevolc;
GC40J3G;Kaplnka sv. Rochusa;Multi-cache;Small;2.5;2.0;N 49° 09.267;E 018° 45.639;488;2012-10-31;Žilinský kraj;Žilina;0;0;0;0;82;0;0.0;0.0;-TeeBee-;teebee1;
GC40JGP;Ulmansky I;Traditional Cache;Small;2.0;3.5;N 48° 47.600;E 019° 05.866;507;2012-11-01;Banskobystrický kraj;Banská Bystrica;0;0;0;0;89;3;6.0;2.06146;dodo6307 + mary_sa;Dodo6307;
GC40K0N;Veselovske hajky;Traditional Cache;Micro;1.5;1.0;N 49° 26.357;E 019° 24.148;685;2012-11-11;Žilinský kraj;Námestovo;0;0;0;0;108;1;2.7027;0.478685;tomino20489;tomino20489;
GC40KAY;Kacicky tunel;Traditional Cache;Micro;2.0;3.0;N 48° 44.819;E 019° 09.220;388;2012-11-01;Banskobystrický kraj;Banská Bystrica;0;0;0;0;288;3;2.6786;0.915065;dodo6307;Dodo6307;
GC40M72;Muracky;Multi-cache;Small;2.0;3.0;N 48° 46.891;E 019° 06.975;423;2012-11-03;Banskobystrický kraj;Banská Bystrica;0;0;0;0;151;9;11.1111;5.956689;dodo6307 + mary_sa;Dodo6307;
GC40NHX;Strelnica;Traditional Cache;Small;2.5;5.0;N 48° 47.901;E 019° 04.153;539;2012-11-03;Banskobystrický kraj;Banská Bystrica;0;0;0;0;84;6;11.3208;5.292959;dodo6307;Dodo6307;
GC40NJB;Cabrad;Traditional Cache;Regular;2.5;3.5;N 48° 47.872;E 019° 03.869;554;2012-11-03;Banskobystrický kraj;Banská Bystrica;0;0;0;0;87;4;7.8431;3.09217;dodo6307;Dodo6307;
GC40P6D;Kriz nad zakrutou;Traditional Cache;Small;2.5;2.0;N 48° 35.517;E 018° 57.669;408;2012-11-03;Banskobystrický kraj;Žiar nad Hronom;0;0;0;0;216;2;2.2472;0.618427;tigermp;tigermp;
